LF1,LF2,class
3.4432268,0.6469565,beta_4_balanced
1.7618486,-1.754718,beta_1_yule
-0.0010892153,1.3398881,beta_5_unbalanced
-0.73580927,1.4600363,beta_5_unbalanced
2.4230063,0.47071666,beta_4_balanced
0.47407615,1.5460372,beta_5_unbalanced
0.73346835,-1.3657218,beta_3_ab
2.2893846,-0.093668416,beta_4_balanced
0.03565103,-2.1537063,beta_3_ab
0.3945554,-2.1979058,beta_3_ab
-0.7882769,-1.7160735,beta_3_ab
-2.0909588,-0.8086481,beta_2_pda
0.5767988,-2.49335,beta_3_ab
-0.12337354,1.8736151,beta_5_unbalanced
2.8612437,1.4070143,beta_4_balanced
1.5386935,-1.0025353,beta_1_yule
1.1894507,-1.3590676,beta_1_yule
-0.8297354,1.2260392,beta_5_unbalanced
-1.5853124,-1.2649453,beta_2_pda
1.1479342,-1.5474054,beta_1_yule
0.31064925,-1.8654459,beta_3_ab
-0.5588198,1.6216514,beta_5_unbalanced
0.3216012,-2.2483625,beta_3_ab
1.8236794,-0.7772767,beta_4_balanced
-0.76707035,-1.3182881,beta_3_ab
2.524577,-0.15121111,beta_4_balanced
3.2635083,1.6183269,beta_4_balanced
-1.8003317,-0.727384,beta_2_pda
-2.1477091,-0.52611667,beta_2_pda
0.4162962,-2.3015833,beta_3_ab
-2.0673957,-0.47396827,beta_2_pda
-1.4617357,1.9183137,beta_5_unbalanced
-0.921085,1.4510947,beta_5_unbalanced
-0.09116598,-2.5770624,beta_3_ab
3.3935943,1.2942812,beta_4_balanced
2.7487884,1.2327893,beta_4_balanced
1.8267982,-0.6175122,beta_1_yule
2.0885239,-1.3912839,beta_1_yule
-1.5580654,-1.1817337,beta_2_pda
-0.5625267,0.679391,beta_5_unbalanced
0.45113826,-2.3285124,beta_3_ab
-0.6859659,-2.4428794,beta_2_pda
1.594891,-0.5863813,beta_1_yule
-1.2013727,1.2830037,beta_5_unbalanced
-0.52901316,-1.6574451,beta_3_ab
2.8236973,0.87757653,beta_4_balanced
-1.5606357,-1.3230251,beta_2_pda
0.083157435,-2.136953,beta_3_ab
2.3363934,0.7034047,beta_4_balanced
0.72531503,-1.8577191,beta_3_ab
1.8601105,-1.1901602,beta_3_ab
-0.2832903,-2.7231488,beta_3_ab
1.0701113,-2.036642,beta_1_yule
-0.38761574,-2.0974908,beta_3_ab
1.9624186,-0.014532156,beta_4_balanced
-0.84546214,-1.6282669,beta_2_pda
-0.95110905,1.385715,beta_5_unbalanced
1.9105167,-0.111998595,beta_1_yule
-0.6422195,-1.9592116,beta_3_ab
1.1412389,-1.7324735,beta_1_yule
-0.84909403,-1.6569209,beta_3_ab
-0.346959,-2.0298414,beta_3_ab
-0.3266965,1.3304199,beta_5_unbalanced
0.056045137,-2.0398922,beta_3_ab
-0.66799587,1.3136698,beta_5_unbalanced
1.9462713,0.1093932,beta_4_balanced
-0.12004657,-2.2684402,beta_3_ab
-0.43521342,-1.7951165,beta_3_ab
1.4171333,-1.0533522,beta_1_yule
2.9003086,-0.3208267,beta_4_balanced
-1.8956089,-1.1497347,beta_2_pda
-0.20938471,1.813892,beta_5_unbalanced
-1.8376036,-0.5745709,beta_2_pda
1.4341662,-1.314184,beta_1_yule
3.3361335,0.7916043,beta_4_balanced
-1.8661536,-0.5014927,beta_2_pda
1.4706908,-1.0314654,beta_1_yule
3.2702935,1.1940072,beta_4_balanced
-2.0796437,-0.5470063,beta_2_pda
-1.2186253,1.432807,beta_5_unbalanced
1.2944472,-1.5936923,beta_1_yule
-1.8250248,-0.89790905,beta_2_pda
0.48669866,-2.0692024,beta_1_yule
3.022448,1.0533926,beta_4_balanced
-1.091645,1.475543,beta_5_unbalanced
-0.01800695,-2.3166912,beta_3_ab
0.04150939,-2.2869866,beta_3_ab
-1.3752613,-1.671687,beta_2_pda
-1.443173,-0.75513613,beta_2_pda
2.36818,-0.4135547,beta_3_ab
-2.373447,-0.608355,beta_2_pda
-1.6130762,-0.73079294,beta_2_pda
-2.4399562,-0.7449437,beta_2_pda
1.8054988,-0.8614149,beta_1_yule
2.756656,0.2774194,beta_4_balanced
-1.3038774,-1.6009631,beta_2_pda
1.1999631,-1.5739437,beta_3_ab
-1.7698745,-1.1214242,beta_2_pda
3.0843096,1.3679698,beta_4_balanced
-2.0003526,-0.26432943,beta_2_pda
2.205707,-0.72611314,beta_1_yule
1.8720664,-1.3524034,beta_1_yule
-2.133791,-0.51292837,beta_2_pda
-0.6641138,1.8040378,beta_5_unbalanced
1.2948378,-1.9986209,beta_1_yule
-0.74441946,-1.5863034,beta_3_ab
0.10008453,-2.238837,beta_3_ab
-2.632928,-0.7222593,beta_2_pda
-0.2694621,-2.1647372,beta_3_ab
-0.7817353,1.0080352,beta_5_unbalanced
1.1984137,-1.3428718,beta_1_yule
0.19895095,-2.316288,beta_3_ab
-1.4041276,-1.2493136,beta_2_pda
2.276983,-0.004374787,beta_1_yule
1.4686188,-0.86277676,beta_1_yule
0.77770424,-2.1797988,beta_3_ab
0.09470425,-1.5824157,beta_3_ab
-0.6178009,-1.3556728,beta_2_pda
-0.36172974,-1.9352844,beta_3_ab
1.2376891,-0.66925436,beta_1_yule
2.7068098,0.052903384,beta_4_balanced
-1.7841591,-0.473252,beta_2_pda
2.938828,1.1040691,beta_4_balanced
2.724421,1.0289093,beta_4_balanced
-1.8208,-0.6992482,beta_2_pda
2.918087,0.76514035,beta_4_balanced
-0.79862607,1.2559133,beta_5_unbalanced
-0.32550305,-1.7353592,beta_3_ab
-0.1304426,-1.4920853,beta_2_pda
2.1974938,0.56855863,beta_4_balanced
-2.0064988,-0.83343244,beta_2_pda
-2.203245,-0.6122628,beta_2_pda
2.0191116,-1.4836922,beta_1_yule
3.0770226,1.6221458,beta_4_balanced
-0.01857701,-2.421932,beta_3_ab
1.6636825,-1.4882634,beta_1_yule
-1.5728571,-0.81612694,beta_2_pda
-0.7590919,-2.188912,beta_3_ab
3.2042685,1.0558138,beta_4_balanced
-0.15130788,-1.8824208,beta_3_ab
2.6503947,1.0353773,beta_4_balanced
1.2434347,-1.876902,beta_1_yule
0.37239492,-2.1766195,beta_3_ab
-0.78015596,1.5121667,beta_5_unbalanced
1.202923,-1.4823092,beta_3_ab
0.95608366,-1.5482585,beta_1_yule
-1.8461113,-0.85456294,beta_2_pda
-0.84972686,2.016378,beta_5_unbalanced
-0.27776444,-1.8721812,beta_3_ab
1.3226293,-1.5167892,beta_1_yule
1.7766802,-1.937976,beta_1_yule
0.22514759,-2.400342,beta_3_ab
1.465701,-1.6522603,beta_1_yule
-1.1894804,-1.5817422,beta_2_pda
-0.22106957,-1.8176241,beta_3_ab
-0.45946282,0.8724599,beta_5_unbalanced
-0.25254425,-2.1213827,beta_3_ab
1.0240625,-1.4585779,beta_3_ab
1.5902725,-0.48227224,beta_1_yule
-1.2330489,1.8535125,beta_5_unbalanced
-1.5816399,-1.3849525,beta_2_pda
2.9859397,0.39282763,beta_4_balanced
-0.6072885,-1.5323244,beta_3_ab
